a,(an) 一
telephone,(phone)電話機[C]
television,"(TV)電視,電視廣播[U]"
tell,"告訴;講述,說[O1][O5][O6][(+about/of/to)]"
ten,十的;十個的
tennis,網球(運動)[U]
tenth,"(與the連用)第十的,第十個的"
test,試驗
than,"比,比較"
thank,感謝[(+for)]
that,"那;那個,那人,那事,那東西"
the,"這(個),那(個)"
theater,劇場;電影院[C]
then,"那時,當時"
there,在那裡;到那裡;向那裡
these,這些
they,"(them, their, theirs, themselves)(主格)他們;她們;它們"
thin,薄的;細的;瘦的
thing,"物,東西"
think,想;思索[+wh-]
third,第三的
thirsty,"口乾的,渴的"
thirteen,十三的;十三個的
thirty,三十的;三十個的
this,"這,這個,這人,這事,這東西"
those,那些
though,(although)雖然;儘管
thousand,一千的;一千個的
three,"三的,三個的"
Thursday,星期四
ticket,"票,券;車票;入場券"
tiger,"虎,公虎"
time,時間;時[U]
tired,疲倦的[(+from/with)]
to,"向,往,到"
today,(在)今天
together,"一起;共同,協力"
tomato,番茄[C][U]
tomorrow,(在)明天
tonight,在今晚
too,"太,過分[+to-v]"
tooth,牙齒
touch,"接觸,碰到"
towel,"毛巾,手巾;紙巾[C]"
town,鎮;市鎮[C]
toy,"玩具,玩物"
traffic,交通
train,"列車,火車"
tree,樹;喬木;樹狀灌木
trip,旅行;航行;行程[(+to)]
trouble,煩惱;憂慮[C][U]
truck,"【美】卡車,載貨汽車"
true,"真實的,確實的"
try,試圖;努力[+to-v]
Tuesday,星期二
turn,"使轉動,使旋轉"
twelve,十二的;十二個的
twenty,二十的;二十個的
two,二的;兩個的
typhoon,颱風[C]
umbrella,"傘,雨傘"
uncle,伯父;叔父;姑父;姨丈;舅父
under,"在…下面,在…下方;在…裡面"
understand,理解;懂;熟諳[+wh-]
unhappy,"不幸福的,不愉快的;痛苦的"
uniform,"相同的,一致的"
until,"直到…時,到…為止"
up,"向上,往上;向樓上"
USA,Err:509
use,"用,使用"
useful,有用的;有益的;有幫助的[(+to/for/in)]
usually,通常地;慣常地
vacation,休假;假期;休庭期;休假日
vegetable,蔬菜;青菜[C]
very,"非常,很"
video,錄影;錄影節目[U]
visit,參觀;拜訪;探望
voice,聲音;嗓子[C][U]
wait,"等,等待[(+for)][+to-v]"
waiter,"(男)侍者,服務生"
waitress,"女服務生,女侍應生[C]"
wake,醒來;醒著[(+up)]
walk,走;散步
wall,"牆,壁;圍牆;城牆"
want,"要,想要[+to-v][O2][O7][O8][O4]"
warm,"溫暖的,暖和的"
wash,"洗,洗滌"
watch,錶[C]
water,水[U]
way,"路,通路,道路[C]"
we,"(us, our, ours, ourselves)(主格)我們"
weak,"弱的,虛弱的;衰弱的"
wear,"穿著;戴著;佩帶著;塗抹(香水,化妝品)"
weather,天氣[U]
Wednesday,星期三
week,"週,一星期"
weekend,週末;週末的休假
welcome,歡迎(光臨)
well,很好地;滿意地;成功地
west,西;西方;[the S]
wet,"濕的,潮濕的"
what,(用作疑問代名詞)什麼
when,"(用作疑問副詞)什麼時候,何時"
where,(用作疑問副詞)在哪裡;往哪裡;從哪裡;在哪一點上
whether,(引導名詞子句)是否
which,"(用作疑問代名詞)哪一個,哪一些"
white,白色的
who,"(用作疑問代名詞)誰,什麼人"
whose,(用作疑問代名詞)誰的
why,(用作疑問副詞)為什麼
wife,"妻子,太太,夫人;已婚婦女"
will,(would)(表示單純的將來)將
win,在…中獲勝(或成功)
wind,"轉動(把手),搖;(用絞車)絞起,吊起"
window,"窗,窗戶;(商店)櫥窗"
windy,刮風的;多風的;風大的
winter,"冬,冬季;冷天[C][U]"
wise,有智慧的;聰明的
wish,但願[Y][+(that)]
with,"與…一起,偕同,和…"
without,"無,沒有,不"
woman,"成年女子,婦女[C],女人"
wonderful,極好的;精彩的
word,"詞,單字[C]"
work,工作;勞動;作業;事[U]
workbook,習題簿;練習簿
worker,"工人,勞工,勞動者"
world,世界;地球;宇宙[the S]
worry,"使擔心,使發愁"
write,"寫下,書寫"
writer,作者;作家;記者;撰稿人
wrong,"錯誤的,不對的[+to-v]"
year,"年,一年"
yellow,黃色的
yes,"(yeah)是,是的"
yesterday,昨天
yet,(用於否定句)還(沒)
you,"(your, yours, yourself, yourselves)(主格)你;你們"
young,年輕的;幼小的;青春時期的
zoo,動物園
